decision_id,final_n,final_best,agree_n16,agree_n32,agree_n64
2025-2025011221gm-00a9-0000-22bab0de-05-s0-d1,64,3,True,True,True
2025-2025011221gm-00a9-0000-22bab0de-08-s1-d6,64,2,True,True,True
2025-2025011221gm-00a9-0000-22bab0de-08-s3-d12,64,2,False,True,True
2025-2025011223gm-00a9-0000-7704598d-02-s0-d2,64,3,True,True,True
2025-2025011223gm-00a9-0000-7704598d-02-s1-d6,64,3,False,False,True
2025-2025011223gm-00a9-0000-7704598d-02-s3-d2,128,1,False,False,False
2025-2025011223gm-00a9-0000-7704598d-03-s0-d9,64,3,True,True,True
2025-2025011223gm-00a9-0000-7704598d-06-s0-d3,128,3,False,True,True
2025-2025011223gm-00a9-0000-7704598d-06-s3-d0,128,1,False,True,False
2025-2025011223gm-00a9-0000-7704598d-09-s2-d11,128,3,False,True,True
2025-2025011500gm-00a9-0000-30b78cb2-05-s0-d18,128,1,True,False,True
2025-2025011500gm-00a9-0000-30b78cb2-05-s3-d9,64,1,True,True,True
2025-2025011500gm-00a9-0000-30b78cb2-07-s3-d8,64,1,True,True,True
2025-2025011500gm-00a9-0000-30b78cb2-08-s1-d18,64,2,True,True,True
2025-2025011500gm-00a9-0000-30b78cb2-11-s2-d14,64,1,True,True,True
2025-2025011511gm-00a9-0000-da96440f-00-s0-d1,64,1,False,False,True
2025-2025011511gm-00a9-0000-da96440f-01-s2-d5,64,2,True,True,True
2025-2025011511gm-00a9-0000-da96440f-04-s0-d15,64,2,True,False,True
2025-2025011511gm-00a9-0000-da96440f-06-s2-d8,64,4,False,True,True
2025-2025040815gm-00a9-0000-3be4a59c-04-s2-d12,128,3,False,False,True
2025-2025040815gm-00a9-0000-3be4a59c-06-s3-d11,64,4,True,True,True
2025-2025040815gm-00a9-0000-3be4a59c-08-s1-d4,128,2,True,True,True
2025-2025040815gm-00a9-0000-3be4a59c-09-s1-d5,64,2,True,True,True
2025-2025040815gm-00a9-0000-3be4a59c-09-s2-d16,64,2,True,True,True
2025-2025040817gm-00a9-0000-b8b0f594-01-s2-d12,48,1,True,True,False
2025-2025040817gm-00a9-0000-b8b0f594-01-s3-d7,64,1,True,False,True
2025-2025040817gm-00a9-0000-b8b0f594-02-s1-d0,64,3,True,True,True
2025-2025040817gm-00a9-0000-b8b0f594-06-s3-d0,64,4,False,True,True
2025-2025040820gm-00a9-0000-57062ba3-00-s2-d4,64,4,True,False,True
2025-2025040820gm-00a9-0000-57062ba3-01-s1-d1,128,4,True,True,True
2025-2025040820gm-00a9-0000-57062ba3-01-s3-d4,64,1,False,True,True
2025-2025040820gm-00a9-0000-57062ba3-04-s2-d3,64,1,True,True,True
2025-2025040820gm-00a9-0000-57062ba3-05-s2-d13,64,2,True,True,True
2025-2025040820gm-00a9-0000-57062ba3-08-s0-d7,64,1,True,True,True
2025-2025040820gm-00a9-0000-57062ba3-08-s3-d17,64,2,True,True,True
2025-2025040820gm-00a9-0000-57062ba3-09-s1-d3,64,2,False,False,True
2025-2025040821gm-00a9-0000-b7ac449d-00-s2-d6,64,4,True,True,True
2025-2025040821gm-00a9-0000-b7ac449d-01-s0-d4,64,1,False,True,True
2025-2025040821gm-00a9-0000-b7ac449d-01-s2-d0,64,1,False,True,True
2025-2025040821gm-00a9-0000-b7ac449d-02-s0-d0,64,1,False,False,True
2025-2025040821gm-00a9-0000-b7ac449d-06-s3-d8,64,1,True,True,True
2025-2025040821gm-00a9-0000-b7ac449d-07-s1-d14,64,3,False,False,True
2025-2025040821gm-00a9-0000-b7ac449d-09-s0-d6,64,1,False,True,True
2025-2025040821gm-00a9-0000-b7ac449d-09-s2-d4,64,4,False,True,True
2025-2025040821gm-00a9-0000-b7ac449d-10-s2-d9,64,1,True,True,True
2025-2025040821gm-00a9-0000-b7ac449d-11-s2-d6,64,3,False,False,True
2025-2025040921gm-00a9-0000-9f24706f-01-s2-d1,64,4,False,True,True
2025-2025040921gm-00a9-0000-9f24706f-03-s2-d1,128,1,False,True,False
2025-2025040921gm-00a9-0000-9f24706f-04-s1-d3,32,1,True,True,False
2025-2025040921gm-00a9-0000-9f24706f-06-s1-d7,64,1,True,True,True
2025-2025040921gm-00a9-0000-9f24706f-08-s0-d8,64,2,False,False,True
2025-2025040921gm-00a9-0000-9f24706f-08-s2-d3,64,4,False,True,True
2025-2025041017gm-00a9-0000-5584369a-05-s1-d9,128,1,False,True,False
2025-2025041017gm-00a9-0000-5584369a-09-s0-d19,64,4,True,True,True
2025-2025041017gm-00a9-0000-5584369a-09-s3-d1,64,1,False,False,True
2025-2025041017gm-00a9-0000-5584369a-11-s0-d4,128,2,True,True,True
2025-2025041017gm-00a9-0000-b39f2649-03-s3-d8,128,2,False,False,True
2025-2025041017gm-00a9-0000-b39f2649-05-s3-d12,64,3,False,True,True
2025-2025041017gm-00a9-0000-b39f2649-06-s2-d7,128,1,True,True,True
2025-2025041017gm-00a9-0000-b39f2649-06-s3-d13,64,1,True,False,True
2025-2025041017gm-00a9-0000-b39f2649-07-s2-d8,64,1,True,True,True
2025-2025041017gm-00a9-0000-b39f2649-10-s0-d1,128,4,True,True,False
2025-2025041017gm-00a9-0000-b39f2649-10-s2-d20,64,4,True,True,True
2025-2025041204gm-00a9-0000-7c4cdbd5-00-s2-d7,128,3,False,True,True
2025-2025041204gm-00a9-0000-7c4cdbd5-01-s2-d6,64,1,True,True,True
2025-2025041204gm-00a9-0000-7c4cdbd5-04-s0-d0,64,4,False,False,True
2025-2025041216gm-00a9-0000-3d010e8a-02-s1-d9,64,2,True,True,True
2025-2025041216gm-00a9-0000-3d010e8a-05-s0-d2,128,1,True,True,True
2025-2025041216gm-00a9-0000-3d010e8a-05-s1-d12,128,3,True,False,True
2025-2025041216gm-00a9-0000-3d010e8a-06-s2-d5,64,3,True,True,True
2025-2025041216gm-00a9-0000-3d010e8a-08-s0-d1,64,1,True,False,True
2025-2025041216gm-00a9-0000-3d010e8a-09-s0-d1,64,2,True,False,True
2025-2025041216gm-00a9-0000-3d010e8a-10-s0-d10,64,1,True,True,True
2025-2025041216gm-00a9-0000-3d010e8a-11-s3-d2,64,2,True,False,True
2025-2025041216gm-00a9-0000-e52dffef-05-s2-d20,64,3,True,True,True
2025-2025041216gm-00a9-0000-e52dffef-06-s1-d9,128,2,True,True,False
2025-2025041216gm-00a9-0000-e52dffef-07-s2-d9,64,2,False,False,True
2025-2025041216gm-00a9-0000-e52dffef-07-s3-d2,64,2,True,True,True
2025-2025041217gm-00a9-0000-a3087215-00-s3-d6,64,2,False,True,True
2025-2025041217gm-00a9-0000-a3087215-02-s0-d1,128,2,False,False,True
2025-2025041217gm-00a9-0000-a3087215-03-s0-d6,128,4,True,True,False
2025-2025041217gm-00a9-0000-a3087215-06-s0-d11,128,3,True,True,True
2025-2025041217gm-00a9-0000-a3087215-08-s0-d9,64,1,True,True,True
2025-2025041217gm-00a9-0000-a3087215-08-s2-d19,32,1,True,True,False
2025-2025041217gm-00a9-0000-a3087215-09-s2-d5,64,3,True,True,True
2025-2025041217gm-00a9-0000-a3087215-11-s0-d6,128,2,True,True,True
2025-2025041221gm-00a9-0000-d8d9d627-04-s2-d7,128,2,False,False,False
2025-2025041221gm-00a9-0000-d8d9d627-05-s0-d4,64,2,False,False,True
2025-2025041221gm-00a9-0000-d8d9d627-05-s1-d3,64,2,False,True,True
2025-2025041221gm-00a9-0000-d8d9d627-06-s0-d4,128,3,False,False,False
2025-2025041221gm-00a9-0000-d8d9d627-07-s1-d3,64,1,True,True,True
2025-2025041221gm-00a9-0000-d8d9d627-08-s2-d2,64,1,True,False,True
2025-2025041221gm-00a9-0000-d8d9d627-11-s1-d1,128,1,True,False,False
2025-2025041222gm-00a9-0000-8add91ad-00-s1-d1,64,3,False,False,True
2025-2025041222gm-00a9-0000-8add91ad-00-s3-d8,128,3,False,False,True
2025-2025041222gm-00a9-0000-8add91ad-02-s0-d13,64,2,True,True,True
2025-2025041222gm-00a9-0000-8add91ad-02-s0-d6,128,3,False,False,True
2025-2025041222gm-00a9-0000-8add91ad-05-s2-d15,128,2,True,True,True
2025-2025041222gm-00a9-0000-8add91ad-06-s0-d3,128,1,True,True,True
2025-2025041222gm-00a9-0000-8add91ad-06-s1-d7,64,4,True,True,True
2025-2025041222gm-00a9-0000-8add91ad-06-s3-d0,64,3,False,False,True
