state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260845_ky02,20260845,2,0,2,0,0,"[25000, 16000, 26000, 33000]","[25000, 32000, 10000, 33000]",3,0,0,0,3,2,4,1,23000,middle
g20260812_ky02,20260812,2,0,2,0,0,"[28900, 21100, 27600, 22400]","[10900, 21100, 45600, 22400]",2,0,1,0,4,3,1,2,34700,middle
g20260823_ky02,20260823,2,0,2,1,0,"[15100, 14000, 43900, 27000]","[12400, 11300, 52000, 24300]",2,0,2,0,3,4,1,2,40700,middle
g20260830_ky02,20260830,2,0,2,0,0,"[19700, 30400, 29200, 20700]","[17700, 28400, 25200, 28700]",3,0,0,0,4,2,3,1,11000,middle
g20260820_ky02,20260820,2,0,2,0,0,"[23500, 22500, 26500, 27500]","[27500, 21500, 24500, 26500]",3,0,0,0,1,4,3,2,6000,middle
g20260836_ky01,20260836,1,0,1,1,0,"[23500, 26500, 26500, 23500]","[24000, 25000, 25000, 25000]",2,0,2,1,4,1,2,3,1000,early
g20260826_ky01,20260826,1,0,1,0,0,"[27300, 22400, 22400, 27900]","[27300, 22400, 14400, 35900]",2,0,0,0,2,3,4,1,21500,early
g20260832_ky01,20260832,1,0,1,1,1,"[23500, 26500, 25500, 23500]","[20200, 26500, 25500, 27800]",2,0,0,0,4,2,3,1,7600,early
g20260811_ky02,20260811,2,0,2,0,0,"[30500, 18500, 24000, 27000]","[30500, 17500, 23000, 29000]",3,0,0,0,1,4,3,2,13000,middle
g20260818_ky02,20260818,2,0,2,0,0,"[24000, 25000, 22200, 28800]","[26000, 24500, 21200, 28300]",3,0,0,0,2,3,4,1,7100,middle
g20260835_ky02,20260835,2,0,2,0,0,"[22400, 26300, 27600, 23700]","[20400, 34300, 23600, 21700]",3,0,0,0,4,1,2,3,13900,middle
g20260846_ky01,20260846,1,0,1,0,0,"[27000, 27600, 24000, 21400]","[27000, 26600, 24000, 22400]",2,0,0,0,1,2,3,4,4600,early
g20260837_ky01,20260837,1,0,1,1,0,"[25000, 30800, 17200, 27000]","[24000, 29800, 20200, 26000]",2,0,2,0,3,1,4,2,9600,early
g20260824_ky00,20260824,0,0,0,3,0,"[63700, 12100, 12100, 12100]","[63700, 21000, 3200, 12100]",1,0,0,0,1,2,4,3,60500,early
g20260827_ky01,20260827,1,0,1,0,0,"[31000, 23000, 16300, 29700]","[31000, 23000, 14300, 31700]",2,0,0,0,2,3,4,1,17400,early
g20260833_ky02,20260833,2,0,2,0,0,"[22000, 30200, 28000, 19800]","[20700, 28900, 25400, 25000]",3,0,0,0,4,1,2,3,8200,middle
g20260825_ky02,20260825,2,0,2,0,0,"[39800, 17700, 18600, 23900]","[40800, 17700, 18600, 22900]",3,0,0,0,1,4,3,2,23100,middle
g20260815_ky02,20260815,2,0,2,0,0,"[11300, 37000, 29700, 22000]","[11300, 29300, 37400, 22000]",2,0,1,0,4,2,1,3,26100,middle
g20260831_ky02,20260831,2,0,2,0,0,"[32300, 38200, 7100, 22400]","[32300, 43400, 1900, 22400]",3,0,0,0,2,1,4,3,41500,middle
g20260822_ky01,20260822,1,0,1,0,0,"[26500, 28700, 19300, 25500]","[26500, 27700, 19300, 26500]",2,0,0,0,2,1,4,3,8400,early
g20260838_ky01,20260838,1,0,1,0,0,"[31500, 27500, 21000, 20000]","[28500, 23600, 29900, 18000]",2,0,0,0,2,3,1,4,11900,early
