pair_id,pair_key,state_a,state_b,seat,pair_kind,stage_group,kyoku_ordinal_a,kyoku_ordinal_b,score_diff,grp_value_a,grp_value_b,mc_value_a,mc_value_b,mc_se_a,mc_se_b,delta_grp,delta_mc,delta_mc_se,n_a,n_b
g20260818_ky01|g20260836_ky01|s1,g20260818_ky01|g20260836_ky01,g20260818_ky01,g20260836_ky01,1,hard,early,1,1,0,-0.6425743103027344,-0.549215704202652,0.0,0.21875,0.5551991294107271,0.552905928383266,-0.0933586061000824,-0.21875,0.7835502785015079,192,192
g20260818_ky01|g20260844_ky00|s1,g20260818_ky01|g20260844_ky00,g20260818_ky01,g20260844_ky00,1,hard,early,1,0,0,-0.6425743103027344,-0.5831973254680634,0.0,-0.19791666666666666,0.5551991294107271,0.5529470260126256,-0.05937698483467102,0.19791666666666666,0.7835792792529909,192,192
g20260836_ky01|g20260844_ky00|s1,g20260836_ky01|g20260844_ky00,g20260836_ky01,g20260844_ky00,1,hard,early,1,0,0,-0.549215704202652,-0.5831973254680634,0.21875,-0.19791666666666666,0.552905928383266,0.5529470260126256,0.03398162126541138,0.41666666666666663,0.7819561235885096,192,192
g20260824_ky01|g20260825_ky00|s1,g20260824_ky01|g20260825_ky00,g20260824_ky01,g20260825_ky00,1,hard,early,1,0,300,-0.07912952452898026,-2.3656485229730606,-0.65625,-2.28125,0.6268697231495451,0.5859805594414434,2.2865189984440804,1.625,0.8581018971223023,64,128
g20260818_ky01|g20260821_ky00|s1,g20260818_ky01|g20260821_ky00,g20260818_ky01,g20260821_ky00,1,hard,early,1,0,500,-0.6425743103027344,-0.18929344415664673,0.0,0.4479166666666667,0.5551991294107271,0.5521821094422333,-0.45328086614608765,-0.4479166666666667,0.7830396894707853,192,192
g20260818_ky01|g20260821_ky01|s1,g20260818_ky01|g20260821_ky01,g20260818_ky01,g20260821_ky01,1,hard,early,1,1,500,-0.6425743103027344,-0.5588110685348511,0.0,-0.125,0.5551991294107271,0.5166564627715018,-0.0837632417678833,0.125,0.7584062063445879,192,192
g20260821_ky00|g20260836_ky01|s1,g20260821_ky00|g20260836_ky01,g20260821_ky00,g20260836_ky01,1,hard,early,0,1,500,-0.18929344415664673,-0.549215704202652,0.4479166666666667,0.21875,0.5521821094422333,0.552905928383266,0.35992226004600525,0.22916666666666669,0.7814154129715102,192,192
g20260821_ky00|g20260844_ky00|s1,g20260821_ky00|g20260844_ky00,g20260821_ky00,g20260844_ky00,1,hard,early,0,0,500,-0.18929344415664673,-0.5831973254680634,0.4479166666666667,-0.19791666666666666,0.5521821094422333,0.5529470260126256,0.3939038813114166,0.6458333333333334,0.7814444929515351,192,192
g20260815_ky01|g20260816_ky00|s1,g20260815_ky01|g20260816_ky00,g20260815_ky01,g20260816_ky00,1,easy,early,1,0,19700,5.497049182653427,-3.584286332130432,6.703125,-3.0208333333333335,0.41239997818010693,0.49671468298647786,9.08133551478386,9.723958333333334,0.6455998902550324,128,192
g20260815_ky01|g20260825_ky00|s1,g20260815_ky01|g20260825_ky00,g20260815_ky01,g20260825_ky00,1,easy,early,1,0,17300,5.497049182653427,-2.3656485229730606,6.703125,-2.28125,0.41239997818010693,0.5859805594414434,7.862697705626488,8.984375,0.716552132120378,128,128
